,precision,recall,f1-score,support
NEGATIVE,0.8414634146341463,0.965034965034965,0.8990228013029316,143.0
NEUTRAL,0.9793103448275862,0.9594594594594594,0.9692832764505119,148.0
POSITIVE,0.9152542372881356,0.7941176470588235,0.8503937007874016,136.0
accuracy,0.9086651053864169,0.9086651053864169,0.9086651053864169,0.9086651053864169
macro avg,0.9120093322499562,0.9062040238510827,0.906233259513615,427.0
weighted avg,0.9127442051483655,0.9086651053864169,0.9078869527121348,427.0
