,precision,recall,f1-score,support
NEGATIVE,0.8562091503267973,0.916083916083916,0.8851351351351351,143.0
NEUTRAL,0.9861111111111112,0.9594594594594594,0.9726027397260274,148.0
POSITIVE,0.8692307692307693,0.8308823529411765,0.849624060150376,136.0
accuracy,0.9039812646370023,0.9039812646370023,0.9039812646370023,0.9039812646370023
macro avg,0.903850343556226,0.9021419094948507,0.9024539783371793,427.0
weighted avg,0.9053811183994405,0.9039812646370023,0.9041414566375352,427.0
