,accuracy,precision,recall,f1_score
Random Forest,0.9882903981264637,0.988430059460994,0.9882903981264637,0.9882858794290427
SVM,0.3840749414519906,0.359943987474809,0.3840749414519906,0.25041822927592666
KNN,0.7611241217798594,0.7522679114838239,0.7611241217798594,0.7503953970086124
